comment_id,video_id,author,text,like_count,published_at,reply_count,video_title,video_channel,video_url
UgztuF_1RtQSXCG697R4AaABAg,uSCUNfwMOJs,@AylenPark,All the products are linked in my Amazon Storefront in my bio! They will be under the “skincare essentials” section🥰🤩,1651,2024-09-05T04:30:10Z,28,GAME CHANGING Korean skincare products?!!😱🤩 #kbeauty #skincare #skincaretips #korean,Aylen Park,https://www.youtube.com/watch?v=uSCUNfwMOJs
UgxoolN6Yo7TcmRj7gp4AaABAg,uSCUNfwMOJs,@larissalinnae,You and your mother are absolutely GLOWING,6364,2024-09-05T03:37:15Z,28,GAME CHANGING Korean skincare products?!!😱🤩 #kbeauty #skincare #skincaretips #korean,Aylen Park,https://www.youtube.com/watch?v=uSCUNfwMOJs
UgwAg2wCBCt1pmFER494AaABAg,uSCUNfwMOJs,@BlinkBlackpinck,"1. Dr. Althea  - pure grinding cleansing balm
2. VT- reedle shot 300 serum 
3. Franz- Transparent Sun patches 
4. Mediheal- stretching patch V.T.R 
5. Centella- poremizing quick clay stick mask",1402,2024-10-26T17:49:50Z,10,GAME CHANGING Korean skincare products?!!😱🤩 #kbeauty #skincare #skincaretips #korean,Aylen Park,https://www.youtube.com/watch?v=uSCUNfwMOJs
UgyZ1-fNMBcyxKSCHtV4AaABAg,uSCUNfwMOJs,@neriwest3161,Just remember to not overburden your skin because skin breach will happen and then irritation and break outs will follow.,2323,2024-09-06T04:38:27Z,11,GAME CHANGING Korean skincare products?!!😱🤩 #kbeauty #skincare #skincaretips #korean,Aylen Park,https://www.youtube.com/watch?v=uSCUNfwMOJs
UgyvPLvJvKt0oj5Bsgl4AaABAg,uSCUNfwMOJs,@mickeymouse6721,10 years ahead in skincare and 10 years backward in society,2249,2024-09-06T03:17:23Z,55,GAME CHANGING Korean skincare products?!!😱🤩 #kbeauty #skincare #skincaretips #korean,Aylen Park,https://www.youtube.com/watch?v=uSCUNfwMOJs
UgzJyNhEx1mGiGqDZMx4AaABAg,uSCUNfwMOJs,@emmatan4840,Is no one talking about how the uv patches are only going to prevent the sun in the one spot...,554,2024-09-06T00:25:47Z,10,GAME CHANGING Korean skincare products?!!😱🤩 #kbeauty #skincare #skincaretips #korean,Aylen Park,https://www.youtube.com/watch?v=uSCUNfwMOJs
UgyHvkBi4beKkJE-3RR4AaABAg,uSCUNfwMOJs,@SaraF-k6o8v,"Our skin is the largest organ of the body, so it deserves special care and attention. Since I started using the drops from the book The Jewel in the Blue Drop by Alven Morien — which not many people know about, I’ve stopped worrying about the health and beauty of my skin. I highly recommend both the drops and the book. Give them a try!",1195,2025-07-11T12:16:19Z,0,GAME CHANGING Korean skincare products?!!😱🤩 #kbeauty #skincare #skincaretips #korean,Aylen Park,https://www.youtube.com/watch?v=uSCUNfwMOJs
UgzgiyJkXcsrkzOMcXV4AaABAg,uSCUNfwMOJs,@erinmaddox-h2o,Your skin is so glowy and healthy!🌸,312,2024-09-05T03:41:07Z,0,GAME CHANGING Korean skincare products?!!😱🤩 #kbeauty #skincare #skincaretips #korean,Aylen Park,https://www.youtube.com/watch?v=uSCUNfwMOJs
UgxuqnTVfeKApeVcFh94AaABAg,uSCUNfwMOJs,@Mpark1212,Skin is their life… I hope they try to enjoy the world when they’re not obsessing about maintaining perfect skin… life is much more than obtaining perfection,77,2024-10-03T04:56:35Z,4,GAME CHANGING Korean skincare products?!!😱🤩 #kbeauty #skincare #skincaretips #korean,Aylen Park,https://www.youtube.com/watch?v=uSCUNfwMOJs
UgyfhmT3BiTmuPfXQf54AaABAg,uSCUNfwMOJs,@CatieTheRatchetOne,"“7 skincare products that prove why Korea is living 10 years ahead of us”
*there only being 5*",95,2024-09-09T02:22:02Z,3,GAME CHANGING Korean skincare products?!!😱🤩 #kbeauty #skincare #skincaretips #korean,Aylen Park,https://www.youtube.com/watch?v=uSCUNfwMOJs
UgwYHIlfTud3F9CeQH54AaABAg,uSCUNfwMOJs,@vrc43211,They pick the most beautiful flawless girls to do these type commercials. Their skin is already perfect!❤,29,2024-11-02T20:36:00Z,0,GAME CHANGING Korean skincare products?!!😱🤩 #kbeauty #skincare #skincaretips #korean,Aylen Park,https://www.youtube.com/watch?v=uSCUNfwMOJs
UgzHRh-mBuoSgRVgdtF4AaABAg,uSCUNfwMOJs,@SherilynSian,Your mom is so PRETTY BEAUTIFUL,31,2024-09-27T12:21:30Z,2,GAME CHANGING Korean skincare products?!!😱🤩 #kbeauty #skincare #skincaretips #korean,Aylen Park,https://www.youtube.com/watch?v=uSCUNfwMOJs
