Keyword1,you,it,so,your,love,my,skin,that,like,one,toner,when,this,with,rice
you,75,18,18,17,9,10,12,16,16,8,4,7,13,7,1
it,18,88,20,12,16,31,26,21,14,10,18,11,11,15,16
so,18,20,97,20,9,18,21,14,10,4,8,4,14,6,7
your,17,12,20,58,9,6,27,12,6,4,3,6,7,5,1
love,9,16,9,9,47,11,10,6,6,4,3,3,7,3,4
my,10,31,18,6,11,79,34,15,7,10,15,10,11,13,16
skin,12,26,21,27,10,34,83,20,8,11,13,4,11,11,12
that,16,21,14,12,6,15,20,62,10,8,10,7,8,14,11
like,16,14,10,6,6,7,8,10,40,8,2,4,10,8,3
one,8,10,4,4,4,10,11,8,8,36,2,1,4,8,4
toner,4,18,8,3,3,15,13,10,2,2,37,3,3,6,29
when,7,11,4,6,3,10,4,7,4,1,3,17,4,4,2
this,13,11,14,7,7,11,11,8,10,4,3,4,36,6,0
with,7,15,6,5,3,13,11,14,8,8,6,4,6,34,7
rice,1,16,7,1,4,16,12,11,3,4,29,2,0,7,33
