Text,Sentiment,PositiveCount,NegativeCount
All the products are linked in my Amazon Storefront in my bio! They will be under the “skincare essentials” section🥰🤩,중립,0,0
You and your mother are absolutely GLOWING,중립,0,0
"1. Dr. Althea  - pure grinding cleansing balm
2. VT- reedle shot 300 serum 
3. Franz- Transparent Sun patches 
4. Mediheal- stretching patch V.T.R 
5. Centella- poremizing quick clay stick mask",중립,0,0
Just remember to not overburden your skin because skin breach will happen and then irritation and break outs will follow.,중립,0,0
10 years ahead in skincare and 10 years backward in society,중립,0,0
Is no one talking about how the uv patches are only going to prevent the sun in the one spot...,중립,0,0
"Our skin is the largest organ of the body, so it deserves special care and attention. Since I started using the drops from the book The Jewel in the Blue Drop by Alven Morien — which not many people know about, I’ve stopped worrying about the health and beauty of my skin. I highly recommend both the drops and the book. Give them a try!",중립,0,0
Your skin is so glowy and healthy!🌸,중립,0,0
Skin is their life… I hope they try to enjoy the world when they’re not obsessing about maintaining perfect skin… life is much more than obtaining perfection,긍정,1,0
"“7 skincare products that prove why Korea is living 10 years ahead of us”
*there only being 5*",중립,0,0
They pick the most beautiful flawless girls to do these type commercials. Their skin is already perfect!❤,긍정,1,0
Your mom is so PRETTY BEAUTIFUL,중립,0,0
