,you,it,skin,my,your,so,that,love,with,like,this,one,not,if,use
you,146,44,33,23,34,30,32,13,18,22,18,11,17,29,13
it,44,185,55,47,30,34,42,20,32,25,20,18,27,28,28
skin,33,55,146,52,44,31,38,12,27,14,20,16,27,20,17
my,23,47,52,114,10,27,25,12,25,11,15,13,21,14,17
your,34,30,44,10,92,25,22,12,13,8,11,6,7,18,8
so,30,34,31,27,25,130,22,13,11,14,18,5,15,15,10
that,32,42,38,25,22,22,107,11,23,19,13,13,18,18,12
love,13,20,12,12,12,13,11,58,5,7,7,4,3,3,6
with,18,32,27,25,13,11,23,5,68,12,9,15,9,11,10
like,22,25,14,11,8,14,19,7,12,65,16,9,13,10,4
this,18,20,20,15,11,18,13,7,9,16,58,6,14,10,4
one,11,18,16,13,6,5,13,4,15,9,6,55,7,11,2
not,17,27,27,21,7,15,18,3,9,13,14,7,56,17,11
if,29,28,20,14,18,15,18,3,11,10,10,11,17,50,7
use,13,28,17,17,8,10,12,6,10,4,4,2,11,7,53
