text,sentiment,positive_count,negative_count
All the products are linked in my Amazon Storefront in my bio! They will be under the “skincare essentials” section🥰🤩,중립,0,0
Hi❤,중립,0,0
@lakid9749when you click on my channel it takes you to my bio and it should have the link to my Amazon storefront!,중립,0,0
@lakid9749I know AI voice is so annoying and they never write down the products or show you clearly either. They just show off their skin lol .. what’s the point then?,중립,0,0
@AylenParkI love your videos,긍정,1,0
iam 11 is it good 4 me too can i also take cqre of my skin?,긍정,1,0
You and your mother are absolutely GLOWING,중립,0,0
Love you and thank you so much 🥰✨,긍정,1,0
Yes…they sure are❤,중립,0,0
"@MariyambiTalukdar that and they are literally rolling in money idk if you watch regularly or not but either way, they're gonna get any product they want (no hate im just saying its not just genes)",부정,0,1
​@MariyambiTalukdar it's also skincare,중립,0,0
@MariyambiTalukdarIf you watch her videos yk how much they care for there skin,중립,0,0
"1. Dr. Althea  - pure grinding cleansing balm
2. VT- reedle shot 300 serum 
3. Franz- Transparent Sun patches 
4. Mediheal- stretching patch V.T.R 
5. Centella- poremizing quick clay stick mask",중립,0,0
Omgg i have the first one!,중립,0,0
@ so cool 😃 I don’t have any of them 🥲,중립,0,0
"Hello, Fyi, for the reedle shot, definitely don't start out at 300. It goes as low as 50, work your way up.",중립,0,0
@allways8782 oh ok thanks it really helps me a lot,중립,0,0
​​@K-Pop_Addict_SKZEdits OMG STAY SPOTTED,중립,0,0
Just remember to not overburden your skin because skin breach will happen and then irritation and break outs will follow.,중립,0,0
how much is the max would you say? 2 stuff a day?,중립,0,0
"@user-js6yq4hr1n Depends on what your skin type is and what it needs. If your skin is healthy you could do basic one. Cleanser, mousturizer or oils, sunscreen. I do the basic one. And once in a while I go to sleep with diaper rash cream on my face. Good for healing for me. Understand what your skin needs but it's an organ. So over doing it can be harmful.",긍정,1,0
"@neriwest3161 thank you, my skin isn't the worst but I have wrinkles and dark spots :(( I do occasionally use a cleanser, moisturizer, and I always wear UV sunscreen. I am thinking of using Vit. C and hyaluronic acid creams. What do you think? (I am only 21 but I have the smile lines wrinkles so yeah haha)",부정,0,1
"@user-js6yq4hr1n I don't think I am qualified to answer you dear. All I have is a general idea of skin care. If you could consult a good dermatologist yourself, that's the best. If you think that's difficult, check Dr. Idriss's channel, she is a dermatologist and she has good advice.",긍정,3,0
👍,중립,0,0
10 years ahead in skincare and 10 years backward in society,중립,0,0
Agree,중립,0,0
Yes totally correct,중립,0,0
True,중립,0,0
"Y as a society they are backward? Infact more American men shy away from makeup or skincare, compared to Korean men, who are confident even in feminine clothes. In this scenario America is 10 years behind.",중립,0,0
"​@faeezparkar9731 I guess they're talking more about crimes against women, bullies and idols I guess?",중립,0,0
Is no one talking about how the uv patches are only going to prevent the sun in the one spot...,중립,0,0
Koreans also put on sunscreen on daily. I think it is made to put in the most vulnerable spots - I always use sunscreen and that part? Sometimes gets caught either way.,중립,0,0
The areas under the eyes and the cheekbones are the most vulnerable areas. I’m sure they apply the normal SPF first and follow up with the patches for extra protection,중립,0,0
No one's talking about it because ur the only stupid here,중립,0,0
@tkbheje8876yup exactly!! Personally my mom and I are most prone to dark spots and sun spots on these areas!,중립,0,0
I'm sure this is meant to be used on top of regular sunscreen application for additional protection - think about the last time you got sunburned on your face; it was probably across the tops of your cheeks and nose.,중립,0,0
"Our skin is the largest organ of the body, so it deserves special care and attention. Since I started using the drops from the book The Jewel in the Blue Drop by Alven Morien — which not many people know about, I’ve stopped worrying about the health and beauty of my skin. I highly recommend both the drops and the book. Give them a try!",중립,0,0
Your skin is so glowy and healthy!🌸,중립,0,0
Skin is their life… I hope they try to enjoy the world when they’re not obsessing about maintaining perfect skin… life is much more than obtaining perfection,긍정,1,0
Literally- so sad,중립,0,0
Agreed,중립,0,0
Because they are beauty influencers so obviously they have to make videos this😐,중립,0,0
"I’m confused as to why people say things about those who want to take care of their skin. Our skin is the largest organ. If something goes awry with one of our internal organs, do we not try to correct it if possible?",중립,0,0
"“7 skincare products that prove why Korea is living 10 years ahead of us”
*there only being 5*",중립,0,0
YouTube only allows 1 min max😢😢,중립,0,0
@AylenPark Oh I forgot sorry btw that wasn’t to be rude I love you and your moms vids,긍정,1,0
Ahh girl😅 why don't u change the caption then❓​@AylenPark,중립,0,0
They pick the most beautiful flawless girls to do these type commercials. Their skin is already perfect!❤,긍정,1,0
Your mom is so PRETTY BEAUTIFUL,중립,0,0
Fr the mom is even prettier than her 😳,중립,0,0
​@udontevenwannaknowbruv  they're both pretty.,중립,0,0
