video_id,title,channel,published_at,description,view_count,like_count,comment_count,duration,tags,url
uSCUNfwMOJs,GAME CHANGING Korean skincare products?!!😱🤩 #kbeauty #skincare #skincaretips #korean,Aylen Park,2024-09-05T03:28:00Z,,10101292,462258,1207,PT1M,,https://www.youtube.com/watch?v=uSCUNfwMOJs
gGeRJWDtgY0,Products k-beauty insiders are obsessed with rn🤭 #kbeauty #koreanmakeup #whatsinmypouch #makeup,Sarah Chey,2025-01-17T04:52:07Z,,270526,16875,28,PT1M,,https://www.youtube.com/watch?v=gGeRJWDtgY0
iO8oW6CRiRk,pink kbeauty lippies 🎀 #shorts #koreanbeauty #kbeauty #koreanmakeup #lippies #pink #yesstyle,Dahia,2024-06-11T05:53:01Z,"like & subscribe for more ! 🫶🏻

product link 🔗 

fwee pot 🔗 https://global.oliveyoung.com/if/rd?su=8VE5AN6M

fwee gloss 🔗 https://www.yesstyle.com/en/fwee-3d-voluming-gloss-10-colors-b06-scotch-70/info.html/pid.1128770343?rco=DAHIA05&utm_term=DAHIA05&utm_medium=LinkShare&mcg=influencer

rom&nd tint 🔗 https://www.yesstyle.com/en/romand-juicy-lasting-tint-bare-juicy-series-4-colors-25-bare-grape/info.html/pid.1100905689?rco=DAHIA05&utm_term=DAHIA05&utm_medium=LinkShare&mcg=influencer

rom&nd balm 🔗 https://www.yesstyle.com/en/romand-glasting-melting-balm-dusty-on-the-nude-edition-6-colors-15/info.html/pid.1125553052?rco=DAHIA05&utm_term=DAHIA05&utm_medium=LinkShare&mcg=influencer

Yesstyle code • DAHIA05
Olive Young code • DAHIA15
Stylevana code • INF105DAHIA

lippies inspo @b.inyoung03 on instagram

🏷️ 
#kbeauty #koreanmakeup #makeup #beauty #cutemakeup #asianmakeup #kpop #kpopmakeup #viralmakeup #pink #pinkmakeup #chinesemakeup #douyinmakeup #xiaohongshu #cbeauty #kbeautyskincare #koreanskincare #skincare #afforable #yesstyle",6712066,340296,462,PT24S,,https://www.youtube.com/watch?v=iO8oW6CRiRk
i1o1XILTSxU,Ancient vs Modern Kbeauty ✨,krystallee,2025-09-26T04:18:34Z,"Ancient vs Modern Kbeauty✨

Products: ANUA pore deep foaming cleanser, NACIFIC uyu toner, Parnell cushion foundation, AOU Cosmetics brow balm, Rom&nd apricot beige balm, entropy lip tint in ruby charm

#kbeauty #koreanskincare #skincare #koreanmakeup #naturalbeauty",621998,26187,96,PT51S,,https://www.youtube.com/watch?v=i1o1XILTSxU
48QReWnEPuc,Viral K-Beauty Products That are Actually Worth Your Money #skincare #koreanskincare,Skin Cupid,2023-09-27T17:30:01Z,"We are back with another two products that are actually worth the hype and money 😍 We get that sometimes it might be hard to know which ones are actually up to the hype, and trust us, these ones are!

💓 All available at www.skincupid.co.uk

🤍 MA:NYO Pure Cleansing Oil (200ml):
https://www.skincupid.co.uk/products/ma-nyo-pure-cleansing-oil-200ml

An award-winning cleansing oil that is formulated with 99% naturally-derived nourishing oils to remove impurities, melt blackheads, and unclog the pores for a clear complexion. It balances the skin's pH and delivers ample moisture with a mix of 14 essential oils, whilst removing excess oils and sebum. Packed with antioxidants and soothing oils, this cleansing oil has anti-ageing and calming properties to revitalise the skin and leave it smooth and clear.

🤍IM FROM Rice Toner (150ml):
https://www.skincupid.co.uk/products/im-from-rice-toner-150ml

Made with 77.78% Rice Extract that is naturally rich in antioxidants and vitamins, this toner effectively brightens, improves elasticity, and strengthens the skin barrier by preventing loss of moisture. Meanwhile, this toner also eliminates excess oils and dead skin cells whilst giving the skin large amounts of hydration.",2876653,181079,699,PT55S,,https://www.youtube.com/watch?v=48QReWnEPuc
wsB0opxgIFI,YesStyle Haul💖 #kbeauty #makeup #unboxing #haul #clio #wonyoungism #peripera #dasique #shorts #fyp,Dear_diarlee,2025-06-09T18:22:15Z,,497587,30173,181,PT36S,,https://www.youtube.com/watch?v=wsB0opxgIFI
vUblA8O08oQ,K-Beauty vs J-Beauty : I Tried Their Viral Peel-off Mask,Point of Yu,2025-10-02T14:01:28Z,"💕I’ll leave the links to both products in the Linktree on my profile.

K-Beauty vs J-Beauty : I Tried Their Viral Peel-off Mask

I compared two peel-off masks that are trending right now—one from Korea and one from Japan. Both are super popular, and honestly, the texture and feel are so similar that it wasn’t easy to pick a winner. But after digging deep into the ingredients, I finally made my choice.

Which one do you think comes out on top? 👀

🇰🇷Medicube-Collagen Night Wrapping Mask
https://www.yesstyle.com/en/medicube-collagen-night-wrapping-mask-75ml/info.html/pid.1124066780?rco=POYU0330&utm_term=POYU0330&utm_medium=Influencer&mcg=influencer

🇯🇵BCL-Momo Puri Peach Fresh Pack Mask
https://www.yesstyle.com/en/bcl-momo-puri-peach-fresh-pack-mask-12g/info.html/pid.1120756149?rco=POYU0330&utm_term=POYU0330&utm_medium=Influencer&mcg=influencer",439383,16966,55,PT43S,"korean skincare, japanese skincare, peel off mask, skincare review, skincare comparison, beauty trends, kbeauty, jbeauty, face mask, skincare routine, skincare test, skincare community, beauty review, skincare tips, viral skincare, korean skincare products, glass skin, skincare haul",https://www.youtube.com/watch?v=vUblA8O08oQ
Bi_8gjx0QB0,COOLEST Korean Makeup HACKS?!!😱😍 #kbeauty #korean #makeup #makeuptips,Aylen Park,2024-10-01T02:22:02Z,,12410110,572899,566,PT1M,,https://www.youtube.com/watch?v=Bi_8gjx0QB0
3J1j3JmSAgs,My HONEST thoughts on viral skincare products🤫#kbeauty #koreanskincare #skincare #viralskincare,Sarah Chey,2025-09-16T00:28:19Z,,147768,5214,50,PT1M26S,,https://www.youtube.com/watch?v=3J1j3JmSAgs
UyBMKPlEw0U,3 skincare mistakes that keep you from glass skin☠️,krystallee,2025-05-07T07:25:28Z,"3 skincare mistakes that keep you from glass skin☠️
.
.
.
#shorts #skincare #skincaretips #skincareroutine #glassskin #koreanskincare #skincaremistakes #kbeauty #kbeautytips",1576514,19721,120,PT11S,,https://www.youtube.com/watch?v=UyBMKPlEw0U
