comment_id,video_id,author,text,like_count,published_at,reply_count,video_title,video_channel,video_url
UgztuF_1RtQSXCG697R4AaABAg,uSCUNfwMOJs,@AylenPark,All the products are linked in my Amazon Storefront in my bio! They will be under the “skincare essentials” section🥰🤩,1651,2024-09-05T04:30:10Z,28,GAME CHANGING Korean skincare products?!!😱🤩 #kbeauty #skincare #skincaretips #korean,Aylen Park,https://www.youtube.com/watch?v=uSCUNfwMOJs
UgxoolN6Yo7TcmRj7gp4AaABAg,uSCUNfwMOJs,@larissalinnae,You and your mother are absolutely GLOWING,6368,2024-09-05T03:37:15Z,28,GAME CHANGING Korean skincare products?!!😱🤩 #kbeauty #skincare #skincaretips #korean,Aylen Park,https://www.youtube.com/watch?v=uSCUNfwMOJs
UgwAg2wCBCt1pmFER494AaABAg,uSCUNfwMOJs,@BlinkBlackpinck,"1. Dr. Althea  - pure grinding cleansing balm
2. VT- reedle shot 300 serum 
3. Franz- Transparent Sun patches 
4. Mediheal- stretching patch V.T.R 
5. Centella- poremizing quick clay stick mask",1402,2024-10-26T17:49:50Z,10,GAME CHANGING Korean skincare products?!!😱🤩 #kbeauty #skincare #skincaretips #korean,Aylen Park,https://www.youtube.com/watch?v=uSCUNfwMOJs
UgyHvkBi4beKkJE-3RR4AaABAg,uSCUNfwMOJs,@SaraF-k6o8v,"Our skin is the largest organ of the body, so it deserves special care and attention. Since I started using the drops from the book The Jewel in the Blue Drop by Alven Morien — which not many people know about, I’ve stopped worrying about the health and beauty of my skin. I highly recommend both the drops and the book. Give them a try!",1195,2025-07-11T12:16:19Z,0,GAME CHANGING Korean skincare products?!!😱🤩 #kbeauty #skincare #skincaretips #korean,Aylen Park,https://www.youtube.com/watch?v=uSCUNfwMOJs
UgyZ1-fNMBcyxKSCHtV4AaABAg,uSCUNfwMOJs,@neriwest3161,Just remember to not overburden your skin because skin breach will happen and then irritation and break outs will follow.,2324,2024-09-06T04:38:27Z,11,GAME CHANGING Korean skincare products?!!😱🤩 #kbeauty #skincare #skincaretips #korean,Aylen Park,https://www.youtube.com/watch?v=uSCUNfwMOJs
UgyvPLvJvKt0oj5Bsgl4AaABAg,uSCUNfwMOJs,@mickeymouse6721,10 years ahead in skincare and 10 years backward in society,2253,2024-09-06T03:17:23Z,56,GAME CHANGING Korean skincare products?!!😱🤩 #kbeauty #skincare #skincaretips #korean,Aylen Park,https://www.youtube.com/watch?v=uSCUNfwMOJs
UgzJyNhEx1mGiGqDZMx4AaABAg,uSCUNfwMOJs,@emmatan4840,Is no one talking about how the uv patches are only going to prevent the sun in the one spot...,555,2024-09-06T00:25:47Z,10,GAME CHANGING Korean skincare products?!!😱🤩 #kbeauty #skincare #skincaretips #korean,Aylen Park,https://www.youtube.com/watch?v=uSCUNfwMOJs
UgyfhmT3BiTmuPfXQf54AaABAg,uSCUNfwMOJs,@CatieTheRatchetOne,"“7 skincare products that prove why Korea is living 10 years ahead of us”
*there only being 5*",95,2024-09-09T02:22:02Z,3,GAME CHANGING Korean skincare products?!!😱🤩 #kbeauty #skincare #skincaretips #korean,Aylen Park,https://www.youtube.com/watch?v=uSCUNfwMOJs
UgwmEmURB5c_v6p6pgR4AaABAg,uSCUNfwMOJs,@Prettywareesha.7,"Telling people they are beautiful 32/40

I love your hair
I love your eyes
I love your strength
I love your voice
I love your style
I love your eye lashes
I love your nose
I love your confidence
I love your forehead
I love your hands
I love your shoulders
Ilove your ears
I love your cheeks
I love your mouth
I love your personality
I love that you are brave
I love that you are kind
I love that you are strong
I love that you are you
I love that you are smart
I love that you are creative
You are beautiful
You are nice
You are confident
You are smart
You are unstoppable
You are perfect
You are unique
You are amazing
You are pretty
I love you when you're mad
I love you when you're sad
I love you when you're happy
I love you when you're anxious
I love you when you're embarrassed
I love you when you're cheerful
I love you when you're disappointed
I love you when you're at your lowest
I love you when you're at your highest
I'm proud of you for doing anything you like
I'm proud of you for setting goals I'm proud of you for getting up I'm proud of you for learning I'm proud of you for trying I'm proud of you for smiling
I'm proud of you for everything you do
I'm proud of you for spreading kindness
I'm proud of you for being you I'm proud of you no matter what
If you're insecure about yourself no because everyone is
If you're sad please try to be happy
If you feel hated no! cuz   you are loved
If you feel sad its okay because deep down you're happy if you are depressed its okay but please smile!! 
insecurities are only real because of society, so ask yourself.. ""would you be who you are right now if it weren't for them?"" and what would you say? don't hate yourself, because you are worth the world! everyone is different and that's a good thing. don't be insecure, just set goals! be yourself and learn to love who you are <3
Maybe check out my channel?",18,2024-11-22T19:27:58Z,1,GAME CHANGING Korean skincare products?!!😱🤩 #kbeauty #skincare #skincaretips #korean,Aylen Park,https://www.youtube.com/watch?v=uSCUNfwMOJs
UgzgiyJkXcsrkzOMcXV4AaABAg,uSCUNfwMOJs,@erinmaddox-h2o,Your skin is so glowy and healthy!🌸,312,2024-09-05T03:41:07Z,0,GAME CHANGING Korean skincare products?!!😱🤩 #kbeauty #skincare #skincaretips #korean,Aylen Park,https://www.youtube.com/watch?v=uSCUNfwMOJs
